Date,Purchases,Clicks,CR,Group
1082019,618,7016,0.08808437856328392,Control
2082019,511,8110,0.06300863131935881,Control
3082019,372,6508,0.05716041794714198,Control
4082019,340,3065,0.11092985318107668,Control
6082019,764,4028,0.18967229394240318,Control
7082019,499,2640,0.18901515151515152,Control
8082019,462,7260,0.06363636363636363,Control
9082019,501,6198,0.0808325266214908,Control
10082019,734,2277,0.32235397452788755,Control
11082019,475,8137,0.058375322600467,Control
12082019,794,2993,0.2652856665552957,Control
13082019,766,6554,0.11687519072322246,Control
14082019,788,4521,0.17429772174297722,Control
15082019,366,4896,0.07475490196078431,Control
16082019,438,5224,0.08384379785604901,Control
17082019,222,6628,0.03349426674713337,Control
18082019,243,7253,0.033503377912587895,Control
19082019,542,3706,0.14624932541824068,Control
20082019,299,2578,0.11598138091543832,Control
21082019,800,5691,0.14057283429977158,Control
22082019,387,6843,0.05655414291977203,Control
23082019,766,4410,0.17369614512471657,Control
24082019,585,4085,0.14320685434516525,Control
25082019,386,4234,0.09116674539442607,Control
26082019,251,5435,0.04618215271389144,Control
27082019,605,4941,0.12244484922080551,Control
28082019,643,6287,0.10227453475425481,Control
29082019,334,8127,0.04109757598129691,Control
30082019,670,4658,0.14383855732073852,Control
